peak_pos,weeks,rank,genre,pop,dance pop,pop rap,rap,post-teen pop,hip hop,r&b,contemporary country,southern hip hop,country,country road,urban contemporary,trap music,hip pop,dirty south rap,pop rock,modern country rock,gangster rap,neo mellow,neo soul,post-grunge
36,1,36,"['pop rap', 'rap']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,94,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,88,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,10,81,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
98,1,98,"['emo', 'modern rock', 'pop punk', 'vegas indie']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,73,"['dirty south rap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
65,1,65,"['dirty south rap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
35,9,99,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,18,92,"['contemporary country', 'country', 'country road']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
100,1,100,"['dirty south rap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
6,5,89,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,68,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
99,1,99,"['boy band', 'dance pop', 'europop', 'pop']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,98,['contemporary country'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,92,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,82,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
73,1,73,['chinese hip hop'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,12,93,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,19,97,['trap music'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,1,79,"['pop', 'rap', 'southern hip hop', 'trap music']",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,4,88,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,98,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,95,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24,3,89,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,21,44,"['pop', 'rap', 'trap music']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,3,97,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,20,94,"['dance pop', 'deep pop r&b', 'r&b', 'urban contemporary']",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,3,90,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,84,"['dance pop', 'hip pop', 'pop', 'pop rap', 'rap']",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2,93,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5,94,['trap music'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,2,95,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,89,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,98,['trap music'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,2,79,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,21,34,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,9,96,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,73,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,71,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,80,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,57,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,30,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,45,50,"['modern rock', 'neo-psychedelic']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,53,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28,49,['hip hop'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,47,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,12,85,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
50,3,99,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,52,45,"['modern rock', 'vegas indie']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,54,34,"['big room', 'edm']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,41,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,33,50,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,68,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,91,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4,97,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap']",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,20,98,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
38,2,77,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,99,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,11,100,"['deep trap', 'trap music']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,30,46,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,73,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,20,56,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
58,2,87,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,8,95,"['canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
27,3,76,"['canadian pop', 'pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,20,93,"['contemporary country', 'modern country rock']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45,20,82,['contemporary country'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,86,"['deep pop r&b', 'pop', 'r&b']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3,96,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,20,69,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,74,"['canadian pop', 'pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,15,97,"['dance pop', 'pop', 'post-teen pop', 'r&b']",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,100,"['indie r&b', 'pop', 'r&b']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,18,87,['trap music'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,1,89,"['hip hop', 'rap']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,52,"['canadian pop', 'pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,86,"['emo', 'modern rock', 'pop punk', 'vegas indie']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4,88,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,20,93,"['contemporary country', 'country road']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,5,85,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,20,77,['underground hip hop'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,5,93,"['dwn trap', 'rap', 'southern hip hop', 'trap music']",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
12,20,56,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,64,"['canadian pop', 'pop', 'viral pop']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,89,"['pop', 'rap', 'trap music']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,17,96,"['rap', 'trap music']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,1,100,"['edm', 'electropop', 'pop', 'tropical house']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,95,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,24,48,"['pop', 'post-teen pop', 'viral pop']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,82,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,36,46,"['indie r&b', 'pop']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,97,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,60,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,74,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,68,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,36,48,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,87,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4,92,"['trap music', 'vapor trap']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,35,40,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,98,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
50,9,89,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,99,"['dance pop', 'electropop', 'indie r&b', 'neo soul', 'pop', 'r&b']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,5,100,"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
61,1,61,"['boy band', 'pop', 'post-teen pop']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,19,74,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
49,20,72,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
69,6,99,"['australian country', 'contemporary country', 'country', 'country road']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3,24,47,['trap music'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,12,87,"['contemporary country', 'indonesian jazz', 'pop']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,98,"['indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'pop']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,24,['pop'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,45,['pop'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,91,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,90,"['dance pop', 'pop']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,98,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
7,3,83,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,20,66,['contemporary country'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,20,71,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
73,1,73,"['dance pop', 'pop']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3,97,"['edm', 'electropop', 'pop', 'tropical house']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,100,"['dance pop', 'pop']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,85,"['pop', 'rap', 'trap music']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,52,29,"['modern rock', 'vegas indie']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,87,"['pop', 'rap', 'trap music']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,1,73,"['pop', 'rap', 'trap music']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,1,83,"['pop', 'rap', 'trap music']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,19,89,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
53,1,53,"['pop', 'rap', 'trap music']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,40,48,"['pop', 'post-teen pop', 'viral pop']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,29,47,"['pop', 'rap', 'trap music']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,21,59,['contemporary country'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,20,98,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
71,7,97,"['pop', 'rap', 'southern hip hop', 'trap music']",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
88,4,96,"['deep talent show', 'hollywood', 'movie tunes']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,82,['hip hop'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,96,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,80,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,25,46,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap']",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,21,56,['contemporary country'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6,100,"['dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1,52,38,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
